차타,78,173
다바,96,161
차라,55,168
하나,49,192
자나,40,176
마마,64,189
하차,73,177
사차,86,172
라자,56,160
차하,50,177
자사,78,186
카바,66,151
바마,87,190
차파,84,184
타마,64,195
차바,94,187
바사,93,188
아가,57,148
자카,87,183
차자,96,142
아아,76,140
사차,53,190
나라,40,187
타차,46,145
바마,83,171
마차,75,179
라차,95,166
가아,61,156
바라,61,153
라사,86,184
나다,68,147
나바,54,156
다다,81,144
나차,41,143
타다,61,169
다카,80,180
카자,83,180
마나,69,190
아라,48,179
자하,40,147
하파,50,179
타하,54,190
카바,69,157
자마,61,146
가나,55,165
나타,91,144
아사,83,150
나파,76,199
자아,57,184
아바,63,174
카자,60,192
차다,46,141
라아,45,146
카자,71,155
라차,53,182
자아,44,188
다아,63,145
하카,49,156
차차,62,185
라다,92,163
자라,41,161
하카,43,145
카바,72,192
마다,42,146
라바,56,146
바마,42,173
카자,63,169
나자,89,173
하타,49,149
가하,77,156
가나,85,189
자카,87,190
카자,48,185
다나,75,174
차가,42,185
카자,69,153
바아,55,164
타차,91,156
바라,42,156
가나,77,148
다자,58,169
나카,47,176
다아,52,169
자파,79,162
마하,79,141
카아,94,173
타카,52,178
아아,51,198
하타,47,174
다차,78,187
차다,69,150
차카,72,161
하나,52,170
나나,74,190
차차,82,182
나타,52,186
자타,43,159
차카,51,147
다파,65,172
다다,78,157
바사,52,159
다라,56,145
파바,40,191
나가,65,197
차아,77,160
다다,50,143
자타,47,190
카아,63,157
사하,59,160
타라,73,180
나사,79,173
나사,68,146
라나,72,147
바라,50,147
라자,64,186
바자,85,165
자아,87,181
아하,81,150
자자,54,169
자차,64,185
카아,70,145
바마,53,164
차타,52,155
파자,40,169
사타,85,141
라타,83,150
가카,53,169
바하,62,156
차하,94,191
타라,90,150
타마,88,173
하사,92,155
바라,92,161
카타,87,142
타파,44,193
라차,50,187
마다,83,198
마타,75,168
나라,64,182
타하,96,181
가타,62,165
차바,62,197
다하,92,187
사하,84,155
가다,42,178
가차,66,149
카가,78,147
차마,71,172
카자,58,144
차파,60,195
사사,52,165
자가,67,191
카바,90,176
마차,73,199
타바,47,166
나아,84,144
바하,90,159
아바,57,197
차가,87,197
자가,59,197
자자,82,156
하가,59,169
아가,95,140
마카,83,172
라카,47,182
바바,88,177
바바,60,150
하타,96,194
바가,42,156
나마,98,146
하아,79,160
사사,41,187
타다,85,197
가아,82,150
차타,87,196
자라,67,151
하자,45,172
라다,98,146
다사,57,142
가라,84,179
하자,74,147
차하,74,152
타자,62,194
아파,94,168
하차,43,174
하라,56,195
차자,94,184
타나,77,167
가하,50,141
하마,63,147
아사,58,169
나나,51,179
차마,95,160
나나,82,199
파사,45,163
다하,53,199
